"","Method","npro","qvalueTPs","qvalueFPs","ppv","fdr","sensitivity","specificity","auc","Sub_sd"
"1","moderatedTMS",4284,63,10,0.863,0.137,0.525,0.9996,0.9437,0.106
"2","moderatedTS",4284,60,10,0.8571,0.1429,0.5,0.9996,0.9424,0.106
"3","moderatedTM",4284,62,9,0.8732,0.1268,0.5167,0.9996,0.9461,0.106
"4","moderatedT",4284,56,7,0.8889,0.1111,0.4667,0.9997,0.7596,0.106
"5","limmaTS",4252,65,10,0.8667,0.1333,0.5417,0.9996,0.9483,0.106
"6","limmaTMS",4252,66,15,0.8148,0.1852,0.55,0.9994,0.9473,0.106
"7","moderatedTMS",4284,62,10,0.8611,0.1389,0.5167,0.9996,0.944,0.3217
"8","moderatedTS",4284,61,10,0.8592,0.1408,0.5083,0.9996,0.9425,0.3217
"9","moderatedTM",4284,61,7,0.8971,0.1029,0.5083,0.9997,0.9039,0.3217
"10","moderatedT",4284,56,7,0.8889,0.1111,0.4667,0.9997,0.7415,0.3217
"11","limmaTS",4252,68,12,0.85,0.15,0.5667,0.9995,0.9533,0.3217
"12","limmaTMS",4252,66,19,0.7765,0.2235,0.55,0.9992,0.9498,0.3217
"13","moderatedTMS",4284,63,10,0.863,0.137,0.525,0.9996,0.9447,0.5162
"14","moderatedTS",4284,61,9,0.8714,0.1286,0.5083,0.9996,0.9419,0.5162
"15","moderatedTM",4284,63,8,0.8873,0.1127,0.525,0.9997,0.8246,0.5162
"16","moderatedT",4284,55,6,0.9016,0.0984,0.4583,0.9998,0.7226,0.5162
"17","limmaTS",4252,69,13,0.8415,0.1585,0.575,0.9995,0.9514,0.5162
"18","limmaTMS",4252,69,21,0.7667,0.2333,0.575,0.9992,0.9492,0.5162
"19","moderatedTMS",4284,62,11,0.8493,0.1507,0.5167,0.9996,0.9452,0.6548
"20","moderatedTS",4284,60,10,0.8571,0.1429,0.5,0.9996,0.9424,0.6548
"21","moderatedTM",4284,59,8,0.8806,0.1194,0.4917,0.9997,0.7909,0.6548
"22","moderatedT",4284,52,6,0.8966,0.1034,0.4333,0.9998,0.7046,0.6548
"23","limmaTS",4252,68,13,0.8395,0.1605,0.5667,0.9995,0.9539,0.6548
"24","limmaTMS",4252,68,24,0.7391,0.2609,0.5667,0.999,0.9495,0.6548
"25","moderatedTMS",4284,61,8,0.8841,0.1159,0.5083,0.9997,0.9448,0.8835
"26","moderatedTS",4284,61,9,0.8714,0.1286,0.5083,0.9996,0.9426,0.8835
"27","moderatedTM",4284,51,4,0.9273,0.0727,0.425,0.9998,0.6811,0.8835
"28","moderatedT",4284,40,4,0.9091,0.0909,0.3333,0.9998,0.6402,0.8835
"29","limmaTS",4252,68,13,0.8395,0.1605,0.5667,0.9995,0.9563,0.8835
"30","limmaTMS",4252,69,36,0.6571,0.3429,0.575,0.9986,0.9506,0.8835
