"","Method","npro","qvalueTPs","qvalueFPs","ppv","fdr","sensitivity","specificity","auc","Sub_sd","sim_var"
"1","moderatedCMS",4277,53,12,0.8154,0.1846,0.4417,0.9995,0.9225,0.106,0.011236
"2","moderatedCS",4277,53,12,0.8154,0.1846,0.4417,0.9995,0.9241,0.106,0.011236
"3","moderatedCM",4277,52,10,0.8387,0.1613,0.4333,0.9996,0.9103,0.106,0.011236
"4","moderatedC",4277,47,7,0.8704,0.1296,0.3917,0.9997,0.7253,0.106,0.011236
"5","limmaCS",4216,55,11,0.8333,0.1667,0.5046,0.9995,0.9218,0.106,0.011236
"6","limmaCMS",4216,56,13,0.8116,0.1884,0.5138,0.9994,0.9224,0.106,0.011236
"7","moderatedCMS",4277,52,12,0.8125,0.1875,0.4333,0.9995,0.92,0.3217,0.10349089
"8","moderatedCS",4277,49,8,0.8596,0.1404,0.4083,0.9997,0.9222,0.3217,0.10349089
"9","moderatedCM",4277,50,9,0.8475,0.1525,0.4167,0.9996,0.8836,0.3217,0.10349089
"10","moderatedC",4277,47,6,0.8868,0.1132,0.3917,0.9998,0.7148,0.3217,0.10349089
"11","limmaCS",4216,55,13,0.8088,0.1912,0.5046,0.9994,0.9283,0.3217,0.10349089
"12","limmaCMS",4216,53,14,0.791,0.209,0.4862,0.9993,0.9361,0.3217,0.10349089
"13","moderatedCMS",4277,51,12,0.8095,0.1905,0.425,0.9995,0.9154,0.5162,0.26646244
"14","moderatedCS",4277,51,9,0.85,0.15,0.425,0.9996,0.9163,0.5162,0.26646244
"15","moderatedCM",4277,48,10,0.8276,0.1724,0.4,0.9996,0.7929,0.5162,0.26646244
"16","moderatedC",4277,45,7,0.8654,0.1346,0.375,0.9997,0.677,0.5162,0.26646244
"17","limmaCS",4216,57,16,0.7808,0.2192,0.5229,0.9992,0.9338,0.5162,0.26646244
"18","limmaCMS",4216,56,19,0.7467,0.2533,0.5138,0.9991,0.9137,0.5162,0.26646244
"19","moderatedCMS",4277,51,11,0.8226,0.1774,0.425,0.9996,0.9128,0.6548,0.42876304
"20","moderatedCS",4277,50,10,0.8333,0.1667,0.4167,0.9996,0.9138,0.6548,0.42876304
"21","moderatedCM",4277,47,9,0.8393,0.1607,0.3917,0.9996,0.7202,0.6548,0.42876304
"22","moderatedC",4277,44,7,0.8627,0.1373,0.3667,0.9997,0.7105,0.6548,0.42876304
"23","limmaCS",4216,59,15,0.7973,0.2027,0.5413,0.9993,0.94,0.6548,0.42876304
"24","limmaCMS",4216,56,23,0.7089,0.2911,0.5138,0.9989,0.9408,0.6548,0.42876304
"25","moderatedCMS",4277,48,12,0.8,0.2,0.4,0.9995,0.9177,0.8835,0.78057225
"26","moderatedCS",4277,48,10,0.8276,0.1724,0.4,0.9996,0.9155,0.8835,0.78057225
"27","moderatedCM",4277,40,8,0.8333,0.1667,0.3333,0.9997,0.6279,0.8835,0.78057225
"28","moderatedC",4277,32,4,0.8889,0.1111,0.2667,0.9998,0.6191,0.8835,0.78057225
"29","limmaCS",4216,63,37,0.63,0.37,0.578,0.9983,0.9478,0.8835,0.78057225
"30","limmaCMS",4216,57,47,0.5481,0.4519,0.5229,0.9978,0.9415,0.8835,0.78057225
