"","Method","npro","qvalueTPs","qvalueFPs","ppv","fdr","sensitivity","specificity","auc","Sub_sd"
"1","moderatedTMS",4277,60,19,0.7595,0.2405,0.5,0.9993,0.9335,0.106
"2","moderatedTS",4277,55,12,0.8209,0.1791,0.4583,0.9995,0.9317,0.106
"3","moderatedTM",4277,58,17,0.7733,0.2267,0.4833,0.9993,0.9097,0.106
"4","moderatedT",4277,53,14,0.791,0.209,0.4417,0.9994,0.8246,0.106
"5","limmaTS",4277,59,16,0.7867,0.2133,0.4917,0.9994,0.9341,0.106
"6","limmaTMS",4277,60,30,0.6667,0.3333,0.5,0.9988,0.9331,0.106
"7","moderatedTMS",4277,58,19,0.7532,0.2468,0.4833,0.9993,0.933,0.3217
"8","moderatedTS",4261,50,16,0.7576,0.2424,0.4167,0.9994,0.9256,0.3217
"9","moderatedTM",4277,52,17,0.7536,0.2464,0.4333,0.9993,0.8548,0.3217
"10","moderatedT",4277,48,12,0.8,0.2,0.4,0.9995,0.7668,0.3217
"11","limmaTS",4277,60,19,0.7595,0.2405,0.5,0.9993,0.938,0.3217
"12","limmaTMS",4277,62,53,0.5391,0.4609,0.5167,0.9979,0.9321,0.3217
"13","moderatedTMS",4277,53,12,0.8154,0.1846,0.4417,0.9995,0.9265,0.5162
"14","moderatedTS",4277,52,8,0.8667,0.1333,0.4333,0.9997,0.9299,0.5162
"15","moderatedTM",4277,48,13,0.7869,0.2131,0.4,0.9995,0.7898,0.5162
"16","moderatedT",4277,48,8,0.8571,0.1429,0.4,0.9997,0.7626,0.5162
"17","limmaTS",4277,62,21,0.747,0.253,0.5167,0.9992,0.9317,0.5162
"18","limmaTMS",4277,67,109,0.3807,0.6193,0.5583,0.9957,0.9255,0.5162
"19","moderatedTMS",4277,52,8,0.8667,0.1333,0.4333,0.9997,0.9255,0.6548
"20","moderatedTS",4277,52,8,0.8667,0.1333,0.4333,0.9997,0.9255,0.6548
"21","moderatedTM",4277,47,7,0.8704,0.1296,0.3917,0.9997,0.7395,0.6548
"22","moderatedT",4277,42,6,0.875,0.125,0.35,0.9998,0.7322,0.6548
"23","limmaTS",4277,62,28,0.6889,0.3111,0.5167,0.9989,0.9284,0.6548
"24","limmaTMS",4277,72,182,0.2835,0.7165,0.6,0.9928,0.93,0.6548
"25","moderatedTMS",4277,50,9,0.8475,0.1525,0.4167,0.9996,0.9154,0.8835
"26","moderatedTS",4277,50,9,0.8475,0.1525,0.4167,0.9996,0.9208,0.8835
"27","moderatedTM",4277,36,4,0.9,0.1,0.3,0.9998,0.6651,0.8835
"28","moderatedT",4277,27,3,0.9,0.1,0.225,0.9999,0.5998,0.8835
"29","limmaTS",4277,63,42,0.6,0.4,0.525,0.9983,0.9318,0.8835
"30","limmaTMS",4277,74,425,0.1483,0.8517,0.6167,0.9832,0.9263,0.8835
